id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
0500000US04001,"Apache County, Arizona",72124,16762,442,52154,308,75,762,1621,148,1473
0500000US04003,"Cochise County, Arizona",129647,103744,5023,1519,2177,204,9449,7531,1813,5718
0500000US04005,"Coconino County, Arizona",136701,85870,2137,36791,2267,173,4890,4573,1132,3441
0500000US04007,"Gila County, Arizona",53165,42077,384,8029,319,12,1041,1303,212,1091
0500000US04009,"Graham County, Arizona",37407,28820,782,5048,241,64,1489,963,149,814
0500000US04011,"Greenlee County, Arizona",9023,8063,139,315,40,0,314,152,87,65
0500000US04012,"La Paz County, Arizona",20335,15033,40,2805,168,55,1827,407,63,344
0500000US04013,"Maricopa County, Arizona",4018143,3197669,209789,76621,152248,8062,248655,125099,26042,99057
0500000US04015,"Mohave County, Arizona",203362,181085,2292,4169,2497,347,5969,7003,1359,5644
0500000US04017,"Navajo County, Arizona",107656,52106,721,47216,630,100,3674,3209,538,2671
0500000US04019,"Pima County, Arizona",998537,777699,36123,32656,27498,1454,85541,37566,10453,27113
0500000US04021,"Pinal County, Arizona",389772,309372,17954,20684,6698,1482,21552,12030,2833,9197
0500000US04023,"Santa Cruz County, Arizona",47073,37543,165,106,466,27,8033,733,462,271
0500000US04025,"Yavapai County, Arizona",215996,197905,1285,3995,1899,70,5859,4983,732,4251
0500000US04027,"Yuma County, Arizona",202987,156587,4300,2613,2634,346,31835,4672,1465,3207
0400000US04,Arizona,6641928,5210335,281576,294721,200090,12471,430890,211845,47488,164357
0100000US,United States,316515021,232943055,39908095,2569170,16235305,546255,14865258,9447883,1530765,7917118
