id,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some other race alone,Estimate!!Total:!!Two or more races:,Estimate!!Total:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
0500000US04001,"Apache County, Arizona",71511,16328,373,52755,246,20,549,1240,140,1100
0500000US04003,"Cochise County, Arizona",125867,107581,5132,1563,2445,482,3462,5202,721,4481
0500000US04005,"Coconino County, Arizona",141274,90333,1742,37504,2766,235,3584,5110,497,4613
0500000US04007,"Gila County, Arizona",53546,41171,375,8733,439,22,1184,1622,90,1532
0500000US04009,"Graham County, Arizona",37996,30366,744,4804,240,46,701,1095,172,923
0500000US04011,"Greenlee County, Arizona",9522,8715,209,369,52,0,126,51,3,48
0500000US04012,"La Paz County, Arizona",20793,16035,200,3109,151,10,706,582,65,517
0500000US04013,"Maricopa County, Arizona",4328810,3360305,243640,85876,181352,9694,288830,159113,31611,127502
0500000US04015,"Mohave County, Arizona",207695,187413,2217,4727,2314,458,5325,5241,733,4508
0500000US04017,"Navajo County, Arizona",109270,51496,1005,48795,652,141,4033,3148,276,2872
0500000US04019,"Pima County, Arizona",1027207,781004,36581,39914,30011,1653,87891,50153,11093,39060
0500000US04021,"Pinal County, Arizona",432793,345754,18915,21852,7139,1365,19648,18120,2988,15132
0500000US04023,"Santa Cruz County, Arizona",46480,39840,301,360,424,0,4931,624,269,355
0500000US04025,"Yavapai County, Arizona",228067,208248,1495,3819,2205,165,6102,6033,666,5367
0500000US04027,"Yuma County, Arizona",209468,159864,4533,3234,2777,167,33190,5703,1350,4353
0400000US04,Arizona,7050299,5444453,317462,317414,233213,14458,460262,263037,50674,212363
0100000US,United States,324697795,235377662,41234642,2750143,17924209,599868,16047369,10763902,1625998,9137904
