Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
10/21/2020,02/01/2020,10/17/2020,AK,Anchorage Borough,2020,35,1458
10/21/2020,02/01/2020,10/17/2020,AK,Fairbanks North Star Borough,2090,13,340
10/21/2020,02/01/2020,10/17/2020,AL,Autauga County,1001,25,363
10/21/2020,02/01/2020,10/17/2020,AL,Baldwin County,1003,77,1569
10/21/2020,02/01/2020,10/17/2020,AL,Barbour County,1005,11,191
10/21/2020,02/01/2020,10/17/2020,AL,Bibb County,1007,17,135
10/21/2020,02/01/2020,10/17/2020,AL,Blount County,1009,12,359
10/21/2020,02/01/2020,10/17/2020,AL,Butler County,1013,27,162
10/21/2020,02/01/2020,10/17/2020,AL,Calhoun County,1015,94,1155
10/21/2020,02/01/2020,10/17/2020,AL,Chilton County,1021,16,290
10/21/2020,02/01/2020,10/17/2020,AL,Clay County,1027,27,139
10/21/2020,02/01/2020,10/17/2020,AL,Coffee County,1031,10,368
10/21/2020,02/01/2020,10/17/2020,AL,Colbert County,1033,38,463
10/21/2020,02/01/2020,10/17/2020,AL,Covington County,1039,55,416
10/21/2020,02/01/2020,10/17/2020,AL,Crenshaw County,1041,26,149
10/21/2020,02/01/2020,10/17/2020,AL,Cullman County,1043,31,734
10/21/2020,02/01/2020,10/17/2020,AL,Dale County,1045,53,357
10/21/2020,02/01/2020,10/17/2020,AL,Dallas County,1047,44,349
10/21/2020,02/01/2020,10/17/2020,AL,DeKalb County,1049,18,500
10/21/2020,02/01/2020,10/17/2020,AL,Elmore County,1051,34,495
10/21/2020,02/01/2020,10/17/2020,AL,Escambia County,1053,20,272
10/21/2020,02/01/2020,10/17/2020,AL,Etowah County,1055,135,1220
10/21/2020,02/01/2020,10/17/2020,AL,Franklin County,1059,13,220
10/21/2020,02/01/2020,10/17/2020,AL,Houston County,1069,235,1486
10/21/2020,02/01/2020,10/17/2020,AL,Jackson County,1071,16,458
10/21/2020,02/01/2020,10/17/2020,AL,Jefferson County,1073,625,7282
10/21/2020,02/01/2020,10/17/2020,AL,Lauderdale County,1077,68,1032
10/21/2020,02/01/2020,10/17/2020,AL,Lee County,1081,147,971
10/21/2020,02/01/2020,10/17/2020,AL,Limestone County,1083,31,588
10/21/2020,02/01/2020,10/17/2020,AL,Madison County,1089,146,3012
10/21/2020,02/01/2020,10/17/2020,AL,Marengo County,1091,16,182
10/21/2020,02/01/2020,10/17/2020,AL,Marion County,1093,25,291
10/21/2020,02/01/2020,10/17/2020,AL,Marshall County,1095,52,876
10/21/2020,02/01/2020,10/17/2020,AL,Mobile County,1097,423,3956
10/21/2020,02/01/2020,10/17/2020,AL,Montgomery County,1101,348,2347
10/21/2020,02/01/2020,10/17/2020,AL,Morgan County,1103,53,976
10/21/2020,02/01/2020,10/17/2020,AL,Pike County,1109,16,222
10/21/2020,02/01/2020,10/17/2020,AL,Russell County,1113,11,278
