county,trump 2020,biden 2020,total cast 2020,trump 2016,clinton 2016,total cast 2016
Apache County,11442,23293,35776,8240,17083,28492
Cochise County,35557,23732,60963,28092,17450,50601
Coconino County,27052,44698,73968,21108,32404,60744
Gila County,18377,8943,28057,14182,7003,22953
Graham County,10749,4034,15113,8025,3301,12535
Greenlee County,2433,1182,3723,1892,1092,3376
La Paz County,5129,2236,7522,4003,1575,6056
Maricopa County,995665,1040774,2089563,747361,702907,1608875
Mohave County,78535,24831,105440,58282,17455,81114
Navajo County,27657,23383,52490,20577,16459,41288
Pima County,207758,304981,526319,167428,224661,427102
Pinal County,107077,75106,186319,72819,47892,131628
Santa Cruz County,6194,13138,19807,3897,11690,16769
Yavapai County,91527,49602,144911,71330,35590,116053
Yuma County,36534,32210,70594,25165,24605,53911
